School Year,Division,School,Subject Area,Pass Rate
2011-2012,Fairfax County ,Glen Forest Elementary,Mathematics,63.20%
2011-2012,Loudoun County ,Forest Grove Elementary,Mathematics,65.80%
2011-2012,Rockingham County ,John W. Wayland Elementary,Mathematics,66.67%
2011-2012,Virginia Beach City ,Larkspur Middle,Mathematics,54.77%
2011-2012,Chesapeake City ,Grassfield High,Mathematics,77.02%
2011-2012,Fairfax County ,Springfield Estates Elementary,Mathematics,84.29%
2011-2012,Franklin County ,Sontag Elementary,Mathematics,65.15%
2011-2012,Loudoun County ,Hutchison Farm Elementary,Mathematics,71.00%
2011-2012,Mecklenburg County ,Bluestone Middle,Mathematics,42.02%
2011-2012,Prince William County ,Gainesville Middle,Mathematics,83.78%
2011-2012,Rockingham County ,J. Frank Hillyard Middle,Mathematics,71.19%
2011-2012,Tazewell County ,Graham Intermediate,Mathematics,75.00%
2011-2012,Virginia Beach City ,Ocean Lakes High,Mathematics,62.16%
2011-2012,Albemarle County ,Jack Jouett Middle,Mathematics,83.72%
2011-2012,Chesapeake City ,Grassfield Elementary,Mathematics,75.45%
2011-2012,Fairfax County ,Rose Hill Elementary,Mathematics,55.93%
2011-2012,Lee County ,Rose Hill Elementary,Mathematics,45.97%
2011-2012,Mecklenburg County ,Park View Middle,Mathematics,47.62%
2011-2012,Prince William County ,Buckland Mills Elementary,Mathematics,77.82%
2011-2012,Rockingham County ,Pleasant Valley Elementary,Mathematics,72.65%
2011-2012,Prince William County ,Pennington School,Mathematics,77.08%
2011-2012,Albemarle County ,Joseph T. Henley Middle,Mathematics,94.01%
2011-2012,Albemarle County ,Brownsville Elementary,Mathematics,78.80%
2011-2012,Prince William County ,Rosa Parks Elementary,Mathematics,75.28%
2011-2012,Fairfax County ,Bren Mar Park Elementary,Mathematics,55.66%
2011-2012,Loudoun County ,Belmont Ridge Middle,Mathematics,85.06%
2011-2012,Rockingham County ,Fulks Run Elementary,Mathematics,43.82%
2011-2012,Tazewell County ,Graham High,Mathematics,59.13%
2011-2012,Virginia Beach City ,Strawbridge Elementary,Mathematics,82.64%
2011-2012,Virginia Beach City ,Landstown Elementary,Mathematics,63.07%
2011-2012,Virginia Beach City ,Landstown Middle,Mathematics,70.32%
