DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
PICKENS,"Clemson Elementary, 581 Berkeley Drive, Clemson, SC, 29631",CLEMSON ELEMENTARY,http://cle.pickens.k12.sc.us/,3901023,ELEM,small_green,A,93.9,93.9,,,,
AIKEN,"Clearwater Elementary, 4552 Augusta Road , Beech Island, SC, 29842",CLEARWATER ELEMENTARY,http://clearwaterel.acps.schoolfusion.us/,201024,ELEM,small_red,F,50.9,50.9,,,,
SPARTANBURG 7,"Cleveland Academy of Leadership, 151 Franklin Street, Spartanburg, SC, 29303",CLEVELAND ACADEMY OF LEADERSHIP,http://cleveland.spartanburg7.org/,4207077,ELEM,small_purple,D,68.2,68.2,,,,
SPARTANBURG 3,"Clifdale Elementary, 451 Heritage Hills Road, Spartanburg, SC, 29307",CLIFDALE ELEMENTARY,http://clifdale.spartanburg3.org/,4203031,ELEM,small_green,A,99,99,,,,
HORRY,"Conway Middle, 1104 Elm Street, Conway, SC, 29526",CONWAY MIDDLE,http://cm.horrycountyschools.net/,2601017,MIDD,measle_turquoise,C,76.4,,,76.4,,
KERSHAW,"Camden Middle, 902 McRae Road, Camden, SC, 29020",CAMDEN MIDDLE,http://cms.kcsdschools.com/,2801014,MIDD,small_yellow,B,84.6,,,84.6,,
ORANGEBURG 5,"William J. Clark Middle, 919 Bennett Avenue, Orangeburg, SC, 29115",WILLIAM J CLARK MIDDLE,http://cms.ocsd5schools.org/,3805037,MIDD,measle_turquoise,C,79.8,,,79.8,,
SPARTANBURG 3,"Cowpens Middle, 150 Foster Street, Cowpens, SC, 29330",COWPENS MIDDLE,http://cms.spartanburg3.org/,4203025,MIDD,small_yellow,B,87.9,,,87.9,,
GEORGETOWN,"Coastal Montessori Charter School, 247 Wildcat Way, Pawleys Island, SC, 29585",COASTAL MONTESSORI CHARTER SCHOO,http://coastalmontessoricharter.org/,2201601,ELEM,small_yellow,B,81.3,81.3,,,,
COLLETON,"Colleton County Middle                            , 1379 Tuskegee Airmen Drive, Walterboro, SC, 29488",COLLETON COUNTY MIDDLE,http://colletoncountymiddleschool.org/,1501022,MIDD,small_purple,D,64,,,64,,
RICHLAND 1,"Columbia High, 1701 Westchester Drive, Columbia, SC, 29210",COLUMBIA HIGH,http://columbia.richlandone.org/,4001002,HIGH,small_red,F,42.5,,,,,42.5
SUMTER 1,"Chesnut Oaks Middle, 1200 Oswego Road, Sumter, SC, 29153",CHESTNUT OAKS MIDDLE,http://coms.sumterschools.net/,4301044,MIDD,small_red,F,53.8,,,53.8,,
CHARLESTON,"A. C. Corcoran Elementary, 8585 Vistavia Road, North Charleston, SC, 29406",A C CORCORAN ELEMENTARY,http://corcoran.ccsdschools.com/,1001036,ELEM,small_purple,D,60.4,60.4,,,,
COLLETON,"Cottageville Elementary, 648 Peirce Road, Cottageville, SC, 29453",COTTAGEVILLE ELEMENTARY,http://cottagevilleelementary.com/,1501011,ELEM,measle_turquoise,C,78.7,78.7,,,,
SPARTANBURG 3,"Cowpens Elementary, 341 Foster Street, Cowpens, SC, 29330",COWPENS ELEMENTARY,http://cowpens.spartanburg3.org/,4203030,ELEM,small_yellow,B,87.2,87.2,,,,
RICHLAND 1,"Crayton Middle, 5000 Clemson Avenue, Columbia, SC, 29206",CRAYTON MIDDLE,http://crayton.richlandone.org/,4001031,MIDD,small_yellow,B,86.4,,,86.4,,
PICKENS,"Chastain Road Elementary, 940 Chastain Road, Liberty, SC, 29657",CHASTAIN ROAD ELEMENTARY,http://cre.pickens.k12.sc.us,3901031,ELEM,small_green,A,95.1,95.1,,,,
YORK 3,"The Children's School at Sylvia Circle, 929 Sylvia Circle, Rock Hill, SC, 29730",SYLVIA CIRCLE ELEMENTARY,http://cs.rock-hill.k12.sc.us/,4603034,ELEM,small_yellow,B,83.3,83.3,,,,
LEXINGTON 1,"Carolina Springs Elementary, 6340 Platt Springs Road, Lexington, SC, 29073",CAROLINA SPRINGS ELEMENTARY,http://cses.lexington1.net:8038/,3201062,ELEM,small_yellow,B,88.2,88.2,,,,
LEXINGTON 1,"Carolina Springs Middle, 6180 Platt Springs Road, Lexington, SC, 29073",CAROLINA SPRINGS MIDDLE,http://csms.lexington1.net:8037/,3201063,MIDD,small_yellow,B,80,,,80,,
PICKENS,"Crosswell Elementary, 161 School Road, Easley, SC, 29640",CROSSWELL ELEMENTARY,http://cwe.pickens.k12.sc.us/,3901015,ELEM,small_green,A,97.7,97.7,,,,
YORK 3,"Dutchman Creek Middle, 4757 Mount Gallant Road, Rock Hill, SC, 29732",DUTCHMAN CREEK MIDDLE,http://dc.rock-hill.k12.sc.us/,4603042,MIDD,small_green,A,90.1,,,90.1,,
HORRY,"Daisy Elementary, 2801 Red Bluff Road, Loris, SC, 29569",DAISY ELEMENTARY,http://de.horrycountyschools.net/,2601021,ELEM,small_green,A,93,93,,,,
ORANGEBURG 5,"Dover Elementary, 1411 Bedford Avenue, North, SC, 29112",DOVER ELEMENTARY,http://des.ocsd5schools.org/,3805044,ELEM,small_red,F,53.8,53.8,,,,
PICKENS,"Dacusville Elementary, 200 Cherokee Trail, Easley, SC, 29640",DACUSVILLE ELEMENTARY,http://des.pickens.k12.sc.us/,3901016,ELEM,small_green,A,90.2,90.2,,,,
SUMTER 1,"F. J. Delaine Elementary, 5355 Cane Savannah Road, Wedgefield, SC, 29168",F J DELAINE ELEMENTARY,http://des.sumterschools.net/,4301009,ELEM,small_red,F,55,55,,,,
CHARLESTON,"Charleston Development Academy, 233 Line Street, Charleston, SC, 29403",CHARLESTON DEVELOPMENTAL ACADEMY,http://developmentacademy.ccsdschools.com/,1001612,COMBO,small_green,A,95.2,98.7,,91.7,,
DARLINGTON,"Darlington High, 525 Spring Street, Darlington, SC, 29532",DARLINGTON HIGH,http://dhs.dcsdschools.org/,1601030,HIGH,small_yellow,B,89,,,,,89
PICKENS,"D. W. Daniel High, 140 Blue and Gold Boulevard, Central, SC, 29630",D W DANIEL HIGH,http://dhs.pickens.k12.sc.us/,3901003,HIGH,small_yellow,B,89,,,,,89
LANCASTER,"Discovery Charter of Lancaster, 302 West Dunlap Street, Lancaster, SC, 29720",DISCOVERY SCHOOL OF LANCASTER,http://dis.lancasterscschools.org/home,2901611,ELEM,small_green,A,95,95,,,,
KERSHAW,"Doby's Mill Elementary, 1964 Fort Jackson Road, Lugoff, SC, 29078",DOBYS MILL ELEMENTARY,http://dme.kcsdschools.com/,2801024,ELEM,small_green,A,95.4,95.4,,,,
DARLINGTON,"Darlington Middle, 150 Pinedale Drive, Darlington, SC, 29532",DARLINGTON MIDDLE,http://dms.dcsdschools.org/,1601031,MIDD,small_yellow,B,86.6,,,86.6,,
PICKENS,"Dacusville Middle, 899 Thomas Mill Road, Easley, SC, 29640",DACUSVILLE MIDDLE,http://dms.pickens.k12.sc.us/,3901001,MIDD,small_yellow,B,86.7,,,86.7,,
SPARTANBURG 6,"R. P. Dawkins Middle, 1300 East Blackstock Road, Moore, SC, 29369",R P DAWKINS MIDDLE,http://dms.spartanburg6.k12.sc.us/,4206060,MIDD,small_yellow,B,86.7,,,86.7,,
DORCHESTER 2,"Alston Middle, 500 Bryan Street, Summerville, SC, 29483",ALSTON MIDDLE,http://dorchester.ams.schoolfusion.us/,1802011,MIDD,small_green,A,92.7,,,92.7,,
DORCHESTER 2,"Beech Hill Elementary, 1001 Beech Hill Road, Summerville, SC, 29485",BEECH HILL ELEMENTARY,http://dorchester.bhe.schoolfusion.us/,1802021,ELEM,small_green,A,98.1,98.1,,,,
DORCHESTER 2,"Charles B. DuBose Middle, 1005 DuBose School Road, Summerville, SC, 29483",CHARLES B DUBOSE MIDDLE,http://dorchester.dms.schoolfusion.us/,1802016,MIDD,small_green,A,92.1,,,92.1,,
DORCHESTER 2,"Eagle Nest Elementary, 8640 River Oaks Drive, North Charleston, SC, 29420",EAGLE NEST ELEMENTARY,http://dorchester.ene.schoolfusion.us/,1802024,ELEM,small_yellow,B,87.7,87.7,,,,
DORCHESTER 2,"Fort Dorchester Elementary, 5201 Old Glory Lane, Summerville, SC, 29485",FORT DORCHESTER ELEMENTARY,http://dorchester.fde.schoolfusion.us/,1802023,ELEM,small_green,A,94.2,94.2,,,,
DORCHESTER 2,"Fort Dorchester High, 8500 Patriot Boulevard, North Charleston, SC, 29420",FORT DORCHESTER HIGH,http://dorchester.fdhs.schoolfusion.us/,1802020,HIGH,small_yellow,B,85.8,,,,,85.8
DORCHESTER 2,"Flowertown Elementary, 20 King Charles Circle, Summerville, SC, 29485",FLOWERTOWN ELEMENTARY,http://dorchester.fes.schoolfusion.us/,1802014,ELEM,small_yellow,B,88.3,88.3,,,,
DORCHESTER 2,"Gregg Middle, 500 Green Wave Boulevard, Summerville, SC, 29483",GREGG MIDDLE,http://dorchester.gms.schoolfusion.us/,1802022,MIDD,small_yellow,B,88.9,,,88.9,,
DORCHESTER 2,"Knightsville Elementary, 847 Orangeburg Road, Summerville, SC, 29483",KNIGHTSVILLE ELEMENTARY,http://dorchester.kes.schoolfusion.us/,1802007,ELEM,small_yellow,B,89.3,89.3,,,,
DORCHESTER 2,"Newington Elementary, 10 King Charles Circle, Summerville, SC, 29485",NEWINGTON ELEMENTARY,http://dorchester.nes.schoolfusion.us/,1802013,ELEM,small_green,A,95.1,95.1,,,,
DORCHESTER 2,"Oakbrook Elementary, 306 Old Fort Drive, Ladson, SC, 29456",OAKBROOK ELEMENTARY,http://dorchester.oes.schoolfusion.us/,1802017,ELEM,small_green,A,92.4,92.4,,,,
DORCHESTER 2,"Oakbrook Middle, 286 Old Fort Road, Ladson, SC, 29456",OAKBROOK MIDDLE,http://dorchester.oms.schoolfusion.us/,1802018,MIDD,small_green,A,90.6,,,90.6,,
DORCHESTER 2,"River Oaks Middle, 8642 River Oaks Drive, North Charleston, SC, 29420",RIVER OAKS MIDDLE,http://dorchester.ros.schoolfusion.us/,1802026,MIDD,small_green,A,92.7,,,92.7,,
DORCHESTER 2,"Summerville Elementary, 835 South Main Street, Summerville, SC, 29483",SUMMERVILLE ELEMENTARY,http://dorchester.ses.schoolfusion.us/,1802009,ELEM,small_green,A,95.9,95.9,,,,
DORCHESTER 2,"Summerville High, 1101 Boone Hill Road, Summerville, SC, 29483",SUMMERVILLE HIGH,http://dorchester.shs.schoolfusion.us/,1802006,HIGH,measle_turquoise,C,73.2,,,,,73.2
DORCHESTER 2,"James H. Spann Elementary, 901 John McKissick Way, Summerville, SC, 29483",SPANN ELEMENTARY,http://dorchester.spann.schoolfusion.us/,1802010,ELEM,small_yellow,B,84.3,84.3,,,,
DORCHESTER 2,"Windsor Hill Arts Infused Elementary, 8600 William Moultrie Drive, North Charleston, SC, 29420",WINDSOR HILL ELEMENTARY,http://dorchester.whe.schoolfusion.us/,1802019,ELEM,small_green,A,96.5,96.5,,,,
DORCHESTER 2,"William M. Reeves Elementary, 1003 DuBose School Road, Summerville, SC, 29483",WILLIAM M REEVES ELEMENTARY,http://dorchester.wre.schoolfusion.us/,1802025,ELEM,small_green,A,95.7,95.7,,,,
CHARLESTON,"Drayton Hall Elementary, 3138 Ashley River Road, Charleston, SC, 29414",DRAYTON HALL ELEMENTARY,http://draytonhall.ccsdschools.com/,1001109,ELEM,small_green,A,99.3,99.3,,,,
RICHLAND 1,"Dreher High, 3319 Millwood Avenue, Columbia, SC, 29205",DREHER HIGH,http://dreher.richlandone.org/,4001004,HIGH,small_green,A,93.4,,,,,93.4
CHARLESTON,"Matilda Dunston Elementary, 1825 Remount Road, North Charleston, SC, 29406",MATILDA F DUNSTON ELEMENTARY,http://dunston.ccsdschools.com/,1001072,ELEM,small_green,A,93,93,,,,
YORK 3,"Ebenezer Avenue Elementary, 242 Ebenezer Avenue, Rock Hill, SC, 29730",EBENEZER AVENUE ELEMENTARY,http://ea.rock-hill.k12.sc.us/,4603022,ELEM,small_red,F,43.8,43.8,,,,
AIKEN,"East Aiken School of the Arts, 223 Old Wagener Road, Aiken, SC, 29801",EAST AIKEN SCHOOL OF THE ARTS,http://eaikel.acps.schoolfusion.us/,201027,ELEM,measle_turquoise,C,71.6,71.6,,,,
CHARLESTON,"East Cooper Montessori Charter, 250 Ponsbury Road, Mt. Pleasant, SC, 29464",EAST COOPER MONTESSORI CHARTER,http://eastcooper.ccsdschools.com/,1001614,COMBO,small_green,A,98.5,97.5,,100,,
RICHLAND 1,"Eau Claire High, 4800 Monticello Road, Columbia, SC, 29203",EAU CLAIRE HIGH,http://eauclaire.richlandone.org/,4001005,HIGH,small_red,F,34.2,,,,,34.2
HORRY,"HCS Early College High, P.O. Box 261966, Conway, SC, 29528",EARLY COLLEGE HIGH SCHOOL,http://ec.horrycountyschools.net/,2601064,HIGH,measle_brown,No Grade,,,,,,
PICKENS,"East End Elementary, 505 East Second Avenue, Easley, SC, 29640",EAST END ELEMENTARY,http://eee.pickens.k12.sc.us/,3901017,ELEM,small_green,A,92.1,92.1,,,,
LANCASTER,"Erwin Elementary, 1477 Locustwood Avenue, Lancaster, SC, 29720",ERWIN ELEMENTARY,http://ees.lancasterscschools.org/home,2901017,ELEM,small_yellow,B,80.9,80.9,,,,
ORANGEBURG 4,"Edisto Elementary, 136 Woodolive Lane, Cordova, SC, 29039",EDISTO ELEMENTARY,http://ees.orangeburg4.schoolfusion.us/,3804053,ELEM,small_red,F,56.9,56.9,,,,
ORANGEBURG 4,"Edisto High, 500 R.M. Foster Drive, Cordova, SC, 29039",EDISTO HIGH,http://ehs.orangeburg4.schoolfusion.us/,3804024,HIGH,measle_turquoise,C,70.9,,,,,70.9
PICKENS,"Easley High, 154 Green Wave Boulevard, Easley, SC, 29642",EASLEY HIGH,http://ehs.pickens.k12.sc.us/,3901005,HIGH,small_purple,D,61.7,,,,,61.7
CHARLESTON,"E.B. Ellington Elementary, 5540 Old Jacksonboro Road, Ravenel, SC, 29470",E B ELLINGTON ELEMENTARY,http://ellington.ccsdschools.com/,1001059,COMBO,small_yellow,B,81.2,89.9,,55,,
PICKENS,"R. C. Edwards Middle, 1157 Madden Bridge Road, Central, SC, 29630",R C EDWARDS MIDDLE,http://ems.pickens.k12.sc.us/,3901002,MIDD,small_yellow,B,83.5,,,83.5,,
SUMTER 1,"Ebenezer Middle, 3440 Ebenezer Road, Sumter, SC, 29153",EBENEZER MIDDLE,http://ems.sumterschools.net/,4301002,MIDD,small_green,A,98.9,,,98.9,,
YORK 3,"Ebinport Elementary, 2142 India Hook Road, Rock Hill, SC, 29732",EBINPORT ELEMENTARY,http://ep.rock-hill.k12.sc.us/,4603023,ELEM,small_yellow,B,87.5,87.5,,,,
HAMPTON 2,"Estill Elementary, 318 Fourth Street, Estill, SC, 29918",ESTILL ELEMENTARY,http://estillelementary.com/home/,2502017,ELEM,small_green,A,92.5,92.5,,,,
HAMPTON 2,"Estill High, 1450 Columbia Highway, Estill, SC, 29918",ESTILL HIGH,http://estillhigh.com/home/,2502011,HIGH,small_red,F,56.4,,,,,56.4
HAMPTON 2,"Estill Middle, 1450 Columbia Highway, Ste B, Estill, SC, 29918",ESTILL MIDDLE,http://estillmiddle.com/home/,2502014,MIDD,small_purple,D,65.1,,,65.1,,
PICKENS,"Forest Acres Elementary, 401 McAlister Road, Easley, SC, 29642",FOREST ACRES ELEMENTARY,http://fae.pickens.k12.sc.us/,3901018,ELEM,measle_turquoise,C,75.1,75.1,,,,
RICHLAND 1,"Pendergrass Fairwold School, 5935 Token Street, Columbia, SC, 29203",PENDERGRASS FAIRWOLD SCHOOL,http://fairwold.richlandone.org/,4001905,COMBO,measle_brown,No Grade,,,,,,
FAIRFIELD,"Fairfield Central High, 836 US Highway 321 Bypass South, Winnsboro, SC, 29180",FAIRFIELD CENTRAL HIGH,http://fchs.fairfield.k12.sc.us/home.aspx,2001013,HIGH,small_purple,D,64.4,,,,,64.4
HORRY,"Forestbrook Elementary, 4000 Panthers Parkway, Myrtle Beach, SC, 29579",FORESTBROOK ELEMENTARY,http://fe.horrycountyschools.net/,2601046,ELEM,small_green,A,99.4,99.4,,,,
SPARTANBURG 6,"Fairforest Elementary, 1005 Mount Zion Road, Spartanburg, SC, 29303",FAIRFOREST ELEMENTARY,http://ffe.spartanburg6.k12.sc.us/,4206058,ELEM,small_yellow,B,83.2,83.2,,,,
SPARTANBURG 6,"Fairforest Middle, 4120 North Blackstock Road, Spartanburg, SC, 29301",FAIRFOREST MIDDLE,http://ffm.spartanburg6.k12.sc.us/,4206054,MIDD,small_yellow,B,80.6,,,80.6,,
FAIRFIELD,"Fairfield Magnet for Math and Science, 1647 US Highway 321 Bypass North, Winnsboro, SC, 29180",FAIRFIELD MAGNET SCHOOL FOR MATH,http://fis.fairfield.k12.sc.us/home.aspx,2001015,COMBO,small_green,A,99.2,99,,100,,
RICHLAND 1,"A. C. Flora High, 1 Falcon Drive, Columbia, SC, 29204",A C FLORA HIGH,http://flora.richlandone.org/,4001007,HIGH,small_purple,D,64.5,,,,,64.5
HORRY,"Forestbrook Middle, 4430 Gator Lane, Myrtle Beach, SC, 29588",FORESTBROOK MIDDLE,http://fm.horrycountyschools.net/,2601051,MIDD,small_green,A,96.1,,,96.1,,
YORK 4,"Fort Mill Elementary, 192 Springfield Parkway, Fort Mill, SC, 29715",FORT MILL ELEMENTARY,http://fmes.fort-mill.k12.sc.us/home.aspx,4604043,ELEM,small_yellow,B,87.1,87.1,,,,
YORK 4,"Fort Mill High, 225 Munn Road, Fort Mill, SC, 29715",FORT MILL HIGH,http://fmhs.fort-mill.k12.sc.us/,4604036,HIGH,small_green,A,90.5,,,,,90.5
LEXINGTON 4,"Frances F. Mack Intermediate, 161 Gaston Street, Gaston, SC, 29053",FRANCES F MACK INTERMEDIATE,http://fmis.lexington4.net/,3204035,COMBO,small_red,F,53.5,46.2,,59.6,,
YORK 4,"Fort Mill Middle, 200 Springfield Parkway, Fort Mill, SC, 29715",FORT MILL MIDDLE,http://fmms.fort-mill.k12.sc.us/,4604037,MIDD,small_green,A,91.2,,,91.2,,
FAIRFIELD,"Fairfield Middle, 728 US Highway 321 Bypass South, Winnsboro, SC, 29180",FAIRFIELD MIDDLE,http://fms.fairfield.k12.sc.us/home.aspx,2001001,MIDD,small_red,F,48.5,,,48.5,,
SUMTER 1,"Furman Middle, 3400 Bethel Church Road, Sumter, SC, 29154",FURMAN MIDDLE,http://fms.sumterschools.net/,4301003,MIDD,small_red,F,46.9,,,46.9,,
RICHLAND 1,"Forest Heights Elementary, 2500 Blue Ridge Terrace, Columbia, SC, 29203",FOREST HEIGHTS ELEMENTARY,http://forestheights.richlandone.org/,4001093,ELEM,small_green,A,92.3,92.3,,,,
LEXINGTON 1,"Forts Pond Elementary, 7350 Fish Hatchery Road, Pelion, SC, 29123",FORTS POND ELEMENTARY,http://fpes.lexington1.net:8039/,3201064,ELEM,small_green,A,93.2,93.2,,,,
FAIRFIELD,"Fairfield Elementary, 175 Medley Road, Winnsboro, SC, 29180",FAIRFIELD ELEMENTARY,http://fps.fairfield.k12.sc.us/home.aspx,2001014,COMBO,small_red,F,39,34.6,,50.4,,
YORK 3,"Finley Road Elementary, 1089 Finley Road, Rock Hill, SC, 29730",FINLEY ROAD ELEMENTARY,http://fr.rock-hill.k12.sc.us/,4603026,ELEM,small_yellow,B,85,85,,,,
CHARLESTON,"Edith L. Frierson Elementary, 6133 Maybank Highway, Wadmalaw Island, SC, 29487",EDITH L FRIERSON ELEMENTARY,http://frierson.ccsdschools.com/,1001075,ELEM,small_red,F,57.5,57.5,,,,
CHARLESTON,"Fort Johnson Middle, 1825 Camp Road, Charleston, SC, 29412",FT JOHNSON MIDDLE,http://ftjohnson.ccsdschools.com/,1001035,MIDD,small_green,A,99.9,,,99.9,,
RICHLAND 1,"Gadsden Elementary, 1660 South Goodwin Circle, Gadsden, SC, 29052",GADSDEN ELEMENTARY,http://gadsden.richlandone.org/,4001036,ELEM,small_green,A,99.5,99.5,,,,
NEWBERRY,"Gallman Elementary, 255 Hawkins Road, Newberry, SC, 29108",GALLMAN ELEMENTARY,http://gallmanelem.sc.nce.schoolinsites.com/,3601008,ELEM,measle_turquoise,C,79.2,79.2,,,,
CHARLESTON,"Garrett Academy of Technology, 2731 Gordon Street, North Charleston, SC, 29405",GARRETT ACADEMY OF TECHNOLOGY,http://garrett.ccsdschools.com/,1001008,HIGH,small_red,F,52.5,,,,,52.5
BARNWELL 45,"Guinyard-Butler Middle, 779 Allen Street, Barnwell, SC, 29812",GUINYARD-BUTLER MIDDLE,http://gbms.barnwell45.org,645010,MIDD,small_red,F,36.3,,,36.3,,
FAIRFIELD,"Geiger Elementary, 150 T.M. Cook Road, Ridgeway, SC, 29130",GEIGER ELEMENTARY,http://geiger.fairfield.k12.sc.us/home.aspx,2001012,ELEM,small_purple,D,65.1,65.1,,,,
LEXINGTON 1,"Gilbert Elementary, 314 Main Street, Gilbert, SC, 29054",GILBERT ELEMENTARY,http://ges.lexington1.net:8014/,3201005,ELEM,small_yellow,B,84.6,84.6,,,,
YORK 4,"Gold Hill Elementary, 1000 Dave Gibson Boulevard, Fort Mill, SC, 29708",GOLD HILL ELEMENTARY,http://ghes.fort-mill.k12.sc.us/home.aspx,4604048,ELEM,small_green,A,99.2,99.2,,,,
YORK 4,"Gold Hill Middle, 1025 Dave Gibson Boulevard, Fort Mill, SC, 29708",GOLD HILL MIDDLE,http://ghms.fort-mill.k12.sc.us/home.aspx,4604049,MIDD,small_green,A,94.8,,,94.8,,
LEXINGTON 1,"Gilbert High, 840 Main Street, Gilbert, SC, 29054",GILBERT HIGH,http://ghs.lexington1.net:8013/,3201001,HIGH,measle_turquoise,C,79.1,,,,,79.1
RICHLAND 1,"Heyward Gibbes Middle, 500 Summerlea Drive, Columbia, SC, 29203",GIBBES MIDDLE,http://gibbes.richlandone.org/,4001037,MIDD,small_purple,D,67.9,,,67.9,,
AIKEN,"Gloverville Elementary, 114 Gloria Rush Circle, Gloverville, SC, 29828",GLOVERVILLE ELEMENTARY,http://glovervilleel.acps.schoolfusion.us/,201029,ELEM,small_yellow,B,87.4,87.4,,,,
LEXINGTON 1,"Gilbert Middle, 120 Rikard Circle, Gilbert, SC, 29054",GILBERT MIDDLE,http://gms.lexington1.net:8029/,3201054,MIDD,small_purple,D,69.7,,,69.7,,
PICKENS,"Richard H. Gettys Middle, 105 Stewart Drive, Easley, SC, 29640",RICHARD H GETTYS MIDDLE,http://gms.pickens.k12.sc.us/,3901004,MIDD,small_yellow,B,85.2,,,85.2,,
CHARLESTON,"W. B. Goodwin Elementary, 5501 Dorchester Road, North Charleston, SC, 29418",W B GOODWIN ELEMENTARY,http://goodwin.ccsdschools.com/,1001042,ELEM,small_purple,D,66.5,66.5,,,,
AIKEN,"Greendale Elementary, 505 South Boundary Avenue, New Ellenton, SC, 29809",GREENDALE ELEMENTARY,http://greendaleel.acps.schoolfusion.us/,201030,ELEM,measle_turquoise,C,76.6,76.6,,,,
RICHLAND 1,"A. J. Lewis Greenview Elementary, 726 Easter Street, Columbia, SC, 29203",A J LEWIS GREENVIEW ELEMENTARY,http://greenview.richlandone.org/,4001038,ELEM,small_green,A,94.5,94.5,,,,
HORRY,"Green Sea Floyds Elementary, 5000 Tulip Grove Road, Green Sea, SC, 29545",GREEN SEA FLOYDS ELEMENTARY,http://gsfe.horrycountyschools.net/,2601023,ELEM,small_yellow,B,88.4,88.4,,,,
HORRY,"Green Sea Floyds High, 4990 Tulip Grove Road, Green Sea, SC, 29545",GREEN SEA FLOYDS HIGH,http://gsfh.horrycountyschools.net/,2601006,COMBO,small_yellow,B,81.8,,,78.9,,90.9
RICHLAND 1,"Hand Middle, 2600 Wheat Street, Columbia, SC, 29205",HAND MIDDLE,http://hand.richlandone.org/,4001039,MIDD,small_yellow,B,89.9,,,89.9,,
CHARLESTON,"Harbor View Elementary, 891 Mikell Drive, Charleston, SC, 29412",HARBOR VIEW ELEMENTARY,http://harborview.ccsdschools.com/,1001043,ELEM,small_green,A,92.5,92.5,,,,
CHARLESTON,"Haut Gap Middle, 1861 Bohicket Road, John's Island, SC, 29455",HAUT GAP MIDDLE,http://hautgap.ccsdschools.com/,1001044,COMBO,small_green,A,97.5,100,,97.3,,
BEAUFORT,"H. E. McCracken Middle, 250 H. E. McCracken Circle, Bluffton, SC, 29910",H E MCCRACKEN MIDDLE,http://hem.beaufort.k12.sc.us/,701026,MIDD,small_purple,D,68.1,,,68.1,,
DORCHESTER 4,"Harleyville Elementary, 1650 East Main Street, Dorchester, SC, 29437",HARLEYVILLE ELEMENTARY,http://hes.dorchester4.k12.sc.us/home.aspx?,1804016,ELEM,small_green,A,92.8,92.8,,,,
JASPER,"Hardeeville Elementary, 150 Hurricane Alley, Hardeeville, SC, 29927",HARDEEVILLE ELEMENTARY,http://hes.jcsd.net/,2701010,ELEM,small_red,F,29,29,,,,
PICKENS,"Hagood Elementary, 435 Sparks Lane, Pickens, SC, 29671",HAGOOD ELEMENTARY,http://hes.pickens.k12.sc.us/,3901019,ELEM,small_yellow,B,86.8,86.8,,,,
AIKEN,"Hammond Hill Elementary, 901 West Woodlawn Avenue, North Augusta, SC, 29841",HAMMOND HILL ELEMENTARY,http://hhe.acps.schoolfusion.us/,201031,ELEM,small_green,A,98.4,98.4,,,,
BEAUFORT,"Hilton Head Island Elementary, 30 School Road, Hilton Head Island, SC, 29926",HILTON HEAD INTERNATIONAL BACCAL,http://hhe.beaufort.k12.sc.us/,701033,ELEM,small_green,A,91.7,91.7,,,,
SUMTER 1,"High Hills Elementary, 4971 Frierson Road, Shaw Air Force Base, SC, 29152",HIGH HILLS ELEMENTARY,http://hhes.sumterschools.net/,4301012,ELEM,small_yellow,B,85.2,85.2,,,,
BEAUFORT,"Hilton Head Island High, 70 Wilborn Road, Hilton Head Island, SC, 29926",HILTON HEAD HIGH,http://hhh.beaufort.k12.sc.us/,701003,HIGH,small_yellow,B,82.2,,,,,82.2
BEAUFORT,"Hilton Head Island Middle, 55 Wilborn Road, Hilton Head Island, SC, 29926",HILTON HEAD MIDDLE,http://hhm.beaufort.k12.sc.us/,701009,MIDD,small_purple,D,66.2,,,66.2,,
DARLINGTON,"Hartsville High, 701 Lewellyn Avenue, Hartsville, SC, 29550",HARTSVILLE HIGH,http://hhs.dcsdschools.org/,1601005,HIGH,measle_turquoise,C,73.2,,,,,73.2
ORANGEBURG 4,"Hunter-Kinard-Tyler Elementary, 7066 Norway Road, Neeses, SC, 29107",HUNTER-KINARD-TYLER ELEMENTARY,http://hkte.orangeburg4.schoolfusion.us/?sessionid=be3ce947861661bbd2258e4fd282fdfe&t,3804055,COMBO,small_red,F,38.7,39.9,,36.2,,
ORANGEBURG 4,"Hunter-Kinard-Tyler High, 7066 Norway Road, Neeses, SC, 29107",HUNTER-KINARD-TYLER HIGH,http://hkth.orangeburg4.schoolfusion.us/,3804054,COMBO,small_red,F,55,,,60,,47.3
DARLINGTON,"Hartsville Middle, 1427 Fourteenth Street, Hartsville, SC, 29550",HARTSVILLE MIDDLE,http://hms.dcsdschools.org/,1601004,MIDD,small_yellow,B,84,,,84,,
ORANGEBURG 5,"Robert E. Howard Middle, 1255 Belleville Road, Orangeburg, SC, 29115",ROBERT E HOWARD MIDDLE,http://hms.ocsd5schools.org/,3805026,MIDD,small_red,F,46.7,,,46.7,,
SUMTER 1,"Hillcrest Middle, 4355 Peach Orchard Road, Dalzell, SC, 29040",HILLCREST MIDDLE,http://hms.sumterschools.net/,4301004,MIDD,small_yellow,B,85.7,,,85.7,,
RICHLAND 1,"Hopkins Middle, 1601 Clarkson Road, Hopkins, SC, 29061",HOPKINS MIDDLE,http://hopkins.richlandone.org/,4001010,MIDD,small_red,F,26.7,,,26.7,,
