School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,Marker_Type,CCRPI Score,address
2012,625,Chatham County,3060,Isle of Hope School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",M,55.3,9,9,1,3.2,4.2,measle_turquoise,77.5,"Isle of Hope School, 100 Parkersburg Rd , Savannah, GA, 31406-6425"
2012,707,Newton County,101,Veterans Memorial Middle School,"06, 07, 08",M,54.2,10,11.3,0.5,1.7,2.2,measle_turquoise,77.7,"Veterans Memorial Middle School, 13357 Brown Bridge Rd , Covington, GA, 30016-4116"
2012,7820212,State Charter Schools- Cherokee Charter Academy,212,Cherokee Charter Academy,"KK, 01, 02, 03, 04, 05, 06, 07",M,51.6,9.6,14.3,0.5,1.9,2.4,measle_turquoise,77.9,"Cherokee Charter Academy, 2126 Sixes Rd, Canton, GA, 30114-8162"
2012,707,Newton County,398,Indian Creek Middle School,"06, 07, 08",M,54.4,10.1,10.5,0.5,2.8,3.3,measle_turquoise,78.3,"Indian Creek Middle School, 11051 By Pass Rd, Covington, GA, 30014-3806"
2012,660,Fulton County,286,Ridgeview Charter School,"06, 07, 08",M,58,8.9,10.5,0.5,0.4,0.9,measle_turquoise,78.3,"Ridgeview Charter School, 5340 Trimble Rd NE , Atlanta, GA, 30342-1413"
2012,625,Chatham County,301,Myers Middle School,"06, 07, 08",M,51,8.9,12,1,5.5,6.5,measle_turquoise,78.4,"Myers Middle School , 2025 E 52nd St , Savannah, GA, 31404-4869"
2012,608,Bartow County,190,South Central Middle School,"06, 07, 08",M,54.6,9.2,10.5,0.5,3.6,4.1,measle_turquoise,78.4,"South Central Middle School, 224 Old Alabama Rd SE , Emerson, GA, 30137-2910"
2012,633,Cobb County,110,International Academy of Smyrna,"KK, 01, 02, 03, 04, 05, 06, 07, 08",M,51.2,10.2,14.3,0.5,2.3,2.8,measle_turquoise,78.5,"International Academy of Smyrna, 2144 S Cobb Dr SE , Smyrna, GA, 30080-1322"
2012,675,Henry County,5052,Stockbridge Middle School,"06, 07, 08",M,54.2,9.5,11.3,0.5,3,3.5,measle_turquoise,78.5,"Stockbridge Middle School, 533 Old Conyers Rd, Stockbridge, GA, 30281-2507"
2012,633,Cobb County,502,Cooper Middle School,"06, 07, 08",M,54.5,10.1,9.8,0.5,3.7,4.2,measle_turquoise,78.6,"Cooper Middle School, 4605 Ewing Rd , Austell, GA, 30106-1631"
2012,633,Cobb County,290,Campbell Middle School,"06, 07, 08",M,53.9,9.6,12,0,3.3,3.3,measle_turquoise,78.8,"Campbell Middle School, 3295 Atlanta Rd SE, Smyrna, GA, 30080-8258"
2012,648,Douglas County,108,Factory Shoals Middle School,"06, 07, 08",M,54.8,9.4,10.5,0,4.1,4.1,measle_turquoise,78.8,"Factory Shoals Middle School, 3301 Shoals School Rd , Douglasville, GA, 30135-2935"
2012,675,Henry County,4050,Henry County Middle School,"06, 07, 08",M,55.1,9.8,9.8,0,4.2,4.2,measle_turquoise,78.9,"Henry County Middle School, 166 Holly Smith Dr, Mcdonough, GA, 30253-6747"
2012,710,Paulding County,192,South Paulding Middle School,"06, 07, 08",M,53.2,10,12,0.5,3.5,4,measle_turquoise,79.2,"South Paulding Middle School, 592 Nebo Rd , Dallas, GA, 30157-6853"
2012,669,Hall County,200,Chestatee Middle School,"06, 07, 08",M,55.4,10,9.8,0,4,4,measle_turquoise,79.2,"Chestatee Middle School, 2740 Fran Mar Dr , Gainesville, GA, 30506-1136"
2012,633,Cobb County,304,Kennesaw Charter School,"KK, 01, 02, 03, 04, 05, 06",M,58.6,8.8,NA,0,,0,measle_turquoise,79.3,"Kennesaw Charter School, 1370 Lockhart Dr NW , Kennesaw, GA, 30144-7047"
2012,625,Chatham County,5050,Bartlett Middle School,"06, 07, 08",M,53.8,9.8,12,0.5,3.3,3.8,measle_turquoise,79.4,"Bartlett Middle School, 207 Montgomery Crossroads, Savannah, GA, 31406"
